Species,Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Uniformity,Balance,Clean Cup
Robusta,Uganda,7.83,8.08,7.75,7.92,8,10,7.92,10
Robusta,India,8,7.75,7.92,8,8,10,7.92,10
Robusta,India,7.92,7.83,7.92,8,7.83,10,7.92,10
Robusta,Uganda,8,7.92,7.92,7.75,7.75,10,7.75,10
Robusta,Uganda,8.33,7.83,7.83,7.75,7.58,10,7.75,10
Robusta,India,8,7.92,7.67,8,7.75,10,7.92,10
Robusta,India,7.67,7.75,7.83,7.83,8,10,7.75,10
Robusta,India,7.67,7.75,7.83,7.67,7.92,10,7.83,10
Robusta,India,7.67,7.75,7.58,7.83,7.92,10,8,10
Robusta,Uganda,7.67,7.83,7.83,7.83,7.75,10,7.75,10
Robusta,Uganda,7.58,7.92,7.75,7.83,7.67,10,7.67,10
Robusta,India,7.67,7.83,7.75,7.5,7.75,10,7.58,10
Robusta,India,7.58,7.58,7.67,7.58,7.5,10,7.67,10
Robusta,Uganda,8,7.75,7.75,7.58,7.58,10,7.5,10
Robusta,Uganda,8,7.67,7.75,7.5,7.58,10,7.58,10
Robusta,India,7.75,7.75,7.67,7.67,7.58,10,7.58,10
Robusta,India,7.5,7.5,7.25,7.83,7.83,10,7.83,10
Robusta,Uganda,7.33,7.58,7.5,7.75,7.75,10,7.67,10
Robusta,Uganda,7.83,7.58,7.33,7.67,7.75,10,7.5,10
Robusta,Uganda,7.75,7.42,7.33,7.58,7.67,10,7.58,10
Robusta,India,7.67,7.67,7.5,7.33,7.42,10,7.5,10
Robusta,India,7.58,7.42,7.42,7.83,7.42,10,7.5,10
Robusta,United States,7.92,7.5,7.42,7.42,7.58,9.33,7.42,10
Robusta,Ecuador,7.75,7.58,7.33,7.58,7.75,10,7.83,10
Robusta,Ecuador,7.5,7.67,7.75,7.75,8.42,10,5.25,10
Robusta,United States,7.33,7.33,7.17,7.42,7.42,9.33,7.17,9.33
Robusta,India,7.42,6.83,6.75,7.17,7.08,9.33,7,9.33
Robusta,Vietnam,6.75,6.67,6.5,6.83,6.67,9.33,6.83,9.33
Arabica,Ethiopia,8.67,8.83,8.67,8.75,10,10,8.42,10
Arabica,Ethiopia,8.75,8.67,8.5,8.58,10,10,8.42,10
Arabica,Guatemala,8.42,8.5,8.42,8.42,10,10,8.42,10
Arabica,Ethiopia,8.17,8.58,8.42,8.42,10,10,8.25,10
Arabica,Ethiopia,8.25,8.5,8.25,8.5,10,10,8.33,10
Arabica,Brazil,8.58,8.42,8.42,8.5,10,10,8.33,10
Arabica,Peru,8.42,8.5,8.33,8.5,10,10,8.25,10
Arabica,Ethiopia,8.25,8.33,8.5,8.42,9.33,10,8.5,10
Arabica,Ethiopia,8.67,8.67,8.58,8.42,9.33,9.33,8.42,10
Arabica,Ethiopia,8.08,8.58,8.5,8.5,10,10,8.42,10
Arabica,Ethiopia,8.17,8.67,8.25,8.5,10,10,8.17,10
Arabica,United States,8.25,8.42,8.17,8.33,10,10,8.17,10
Arabica,United States,8.08,8.67,8.33,8.42,10,10,8.08,10
Arabica,United States (Hawaii),8.33,8.42,8.08,8.25,10,10,8,10
Arabica,Ethiopia,8.25,8.33,8.5,8.25,9.33,9.33,8.75,10
Arabica,United States,8,8.5,8.58,8.17,10,10,8,10
Arabica,Indonesia,8.33,8.25,7.83,7.75,10,10,8.42,10
Arabica,Ethiopia,8.17,8.33,8.25,8.33,9.33,9.33,8.33,10
Arabica,China,8.42,8.25,8.08,8.17,10,10,8,10
Arabica,Ethiopia,8.17,8.17,8,8.17,10,10,8.33,10
Arabica,United States,8,8.25,8.08,8.5,10,10,8,10
Arabica,Costa Rica,8.08,8.25,8,8.17,10,10,8.33,10
Arabica,Mexico,8.17,8.25,8.17,8,10,10,8.17,10
Arabica,United States,8.25,8.33,8.17,8.17,10,10,8.17,10
Arabica,Ethiopia,8.42,8.17,7.92,8.17,10,10,8,10
Arabica,Brazil,8.5,8.5,8,8,10,10,8,10
Arabica,Ethiopia,7.83,8.25,8.08,8.17,10,10,8.17,10
Arabica,Uganda,8.42,8.17,8.17,8.17,10,10,7.92,10
Arabica,Honduras,8.17,8.08,8.08,8,10,10,8,10
Arabica,Taiwan,8,8,8,8.25,10,10,8.17,10
Arabica,Nicaragua,7.92,8.25,8,8.33,10,10,8.08,10
Arabica,"Tanzania, United Republic Of",8.42,8.17,8.17,8,10,10,8,10
Arabica,Brazil,8.5,8.17,8,7.75,10,10,8,10
Arabica,Costa Rica,8.17,7.83,8,8.08,10,10,8,10
